loss,mae,val_loss,val_mae,learning_rate
0.014614061452448368,0.3165284991264343,0.012426542118191719,0.27306222915649414,0.000699999975040555
0.01587744988501072,0.34175363183021545,0.012098749168217182,0.26677650213241577,0.000699999975040555
0.01604827679693699,0.34479448199272156,0.010063202120363712,0.22528517246246338,0.000699999975040555
0.012283324263989925,0.2694934904575348,0.008745972067117691,0.19823996722698212,0.000699999975040555
0.008173107169568539,0.18670853972434998,0.006025710143148899,0.143692284822464,0.000699999975040555
0.008005233481526375,0.18403738737106323,0.0100696487352252,0.22558459639549255,0.000699999975040555
0.007689449470490217,0.17746774852275848,0.013696621172130108,0.2981123924255371,0.000699999975040555
0.0063333637081086636,0.14943687617778778,0.007112701889127493,0.16523663699626923,0.000699999975040555
0.0049293371848762035,0.12149561941623688,0.010970995761454105,0.24426928162574768,0.000699999975040555
0.007773834280669689,0.178896963596344,0.004900542087852955,0.11769992113113403,0.000699999975040555
0.005115044768899679,0.1251745969057083,0.004252927843481302,0.10899586230516434,0.000699999975040555
0.005577774718403816,0.1342160701751709,0.0031876114662736654,0.08671490103006363,0.000699999975040555
0.004837969318032265,0.11926554888486862,0.0035633279476314783,0.09439235180616379,0.000699999975040555
0.004458975046873093,0.11132100224494934,0.0037634626496583223,0.09785955399274826,0.000699999975040555
0.004383430816233158,0.10940618067979813,0.003844865132123232,0.09969432651996613,0.000699999975040555
0.0037052577827125788,0.09579116106033325,0.0038816442247480154,0.10042491555213928,0.000699999975040555
0.003304141340777278,0.0882715955376625,0.004105641972273588,0.1061667874455452,0.000699999975040555
0.002950605470687151,0.08047632873058319,0.0019393962575122714,0.05815977230668068,0.0003499999875202775
0.002700738376006484,0.0752028152346611,0.0023151093628257513,0.06632858514785767,0.0003499999875202775
0.0025146387051790953,0.07146631926298141,0.0028328094631433487,0.0791836678981781,0.0003499999875202775
0.0022940977942198515,0.06689402461051941,0.002014718484133482,0.06109517812728882,0.0003499999875202775
0.002159303519874811,0.06407684832811356,0.0021303719840943813,0.062472909688949585,0.0003499999875202775
0.0023262707982212305,0.06701045483350754,0.002817717147991061,0.07758408039808273,0.0003499999875202775
0.0023985132575035095,0.06905371695756912,0.0023367060348391533,0.06835319101810455,0.00017499999376013875
0.0019523395458236337,0.059483472257852554,0.0015735619235783815,0.049925606697797775,0.00017499999376013875
0.002238345565274358,0.06555444002151489,0.002079201629385352,0.06264948844909668,0.00017499999376013875
0.0017778620822355151,0.055632878094911575,0.0019061099737882614,0.05922773852944374,0.00017499999376013875
0.0017211264930665493,0.05482935160398483,0.001748670358210802,0.054164279252290726,0.00017499999376013875
0.0018975224811583757,0.05858948826789856,0.001988154137507081,0.060717225074768066,0.00017499999376013875
0.0017662005266174674,0.05545170232653618,0.0018111030803993344,0.05661088600754738,0.00017499999376013875
0.0017545174341648817,0.055530861020088196,0.0017436952330172062,0.05477159842848778,8.749999688006938e-05
0.0017723239725455642,0.05539818853139877,0.0018465218599885702,0.05747033655643463,8.749999688006938e-05
0.0017577839316800237,0.05560458078980446,0.0018705619731917977,0.0580027773976326,8.749999688006938e-05
